census_block_numeric,date,dow_sin,dow_cos,day_sin,day_cos,month_sin,month_cos,temp_max,temp_min,temp_range,daylight_duration,precipitation_sum,precipitation_hours,week_precipitation_interaction,daylight_precipitation_interaction,block_week_interaction,block_temp_max_interaction,temp_range_precipitation_interaction,is_holiday,week_of_year,Crime_Count_W,Crime_Count_W_lag1w,Crime_Count_W_lag4w,Crime_Count_W_lag12w,Crime_Count_W_lag24w,Crime_Count_W_lag52w,Crime_Count_W_rolling2,Crime_Count_W_rolling3,Crime_Count_W_rolling4,Crime_Count_W_rolling8,Crime_Count_W_rolling15,week_rolling2_interaction,temp_rolling2_interaction,precip_rolling2_interaction,week_rolling3_interaction,temp_rolling3_interaction,precip_rolling3_interaction,week_rolling4_interaction,temp_rolling4_interaction,precip_rolling4_interaction,week_rolling8_interaction,temp_rolling8_interaction,precip_rolling8_interaction,week_rolling15_interaction,temp_rolling15_interaction,precip_rolling15_interaction,daylight_lag1_interaction,daylight_lag4_interaction,daylight_lag12_interaction,daylight_lag24_interaction,daylight_lag52_interaction,precipitation_sum_hours_interaction
0,2024-10-13,-0.7818314824680299,0.6234898018587334,0.6513724827222223,-0.758758122692791,-1.0,-1.8369701987210297e-16,60.71550096825851,46.70416122077633,14.011339747482182,44442.0435218827,0.12970406439428445,4.918305522427776,5.317866640165662,5764.313674775865,0,0.0,1.8173277128576262,0,41,,1.1247482629090362,1.6466671712706678,1.6524030880939045,1.6759380249901916,1.6659050929776016,1.4014899227455504,1.4923047041959252,1.5331860036668832,1.6018032798579258,1.6343526784126046,4.840330071865991,3.781735794529335,2.7760916484505556,4.958223294898916,3.8979597996802604,2.8878708228738756,5.010298346544794,3.949357127082187,2.937455709364146,5.09645121008335,4.034462531558312,3.0197509850866244,5.136807840173375,4.074358339067939,3.0584070544989763,11.434051415362342,12.134564927251635,12.141665022888253,12.170697195830996,12.15834029404462,0.637924216191737
1,2024-10-13,-0.7818314824680299,0.6234898018587334,0.6513724827222223,-0.758758122692791,-1.0,-1.8369701987210297e-16,60.71550096825851,46.70416122077633,14.011339747482182,44442.0435218827,0.12970406439428445,4.918305522427776,5.317866640165662,5764.313674775865,41,60.71550096825851,1.8173277128576262,0,41,,1.0804178182729878,1.4576463830228739,1.4576463830228739,1.579009137828587,1.5099182003836584,1.3219235873179123,1.4020149480064756,1.4162156298629394,1.49593797636758,1.5200838151827518,4.7342297865540015,3.677312790258506,2.6761077166909675,4.841021041110887,3.782416404688786,2.77674475786289,4.859666959205935,3.8007854271063204,2.794378306322585,4.962875202970172,3.9025497394118096,2.892295227764665,4.993671863609905,3.9329432538508207,2.9216109051695205,11.367682600385871,11.894608169961598,11.894608169961598,12.050058556438835,11.962213933606737,0.637924216191737
2,2024-10-13,-0.7818314824680299,0.6234898018587334,0.6513724827222223,-0.758758122692791,-1.0,-1.8369701987210297e-16,60.71550096825851,46.70416122077633,14.011339747482182,44442.0435218827,0.12970406439428445,4.918305522427776,5.317866640165662,5764.313674775865,82,121.43100193651702,1.8173277128576262,0,41,,1.026672031199051,1.5957092304038698,1.570002974208493,1.6281310150671582,1.5163019408528369,1.3086945625744357,1.40538748664533,1.4564699568926518,1.510033569320357,1.5180583037046185,4.716307958071362,3.659691967848001,2.6592806668305125,4.845456804730622,3.7867858345145238,2.78093806358949,4.912082885510613,3.852449675907508,2.844042232509879,4.980878197474596,3.9203155777274756,2.909427207240089,4.99109626698608,3.930400905718634,2.919157509413126,11.285151865408391,12.071050804968246,12.03869995582935,12.111553368632894,11.970400521407791,0.637924216191737
3,2024-10-13,-0.7818314824680299,0.6234898018587334,0.6513724827222223,-0.758758122692791,-1.0,-1.8369701987210297e-16,60.71550096825851,46.70416122077633,14.011339747482182,44442.0435218827,0.12970406439428445,4.918305522427776,5.317866640165662,5764.313674775865,123,182.14650290477553,1.8173277128576262,0,41,,1.1947055233182955,1.583340520839692,1.4892992254175486,1.5653166550596793,1.5875644833216505,1.4052059904560494,1.4540785584736446,1.487993923894515,1.5341476330838073,1.5438019256416209,4.845218210112195,3.7865508005434174,2.780712484644428,4.9089866416870365,3.849396763022061,2.841104779146138,4.9526977642632435,3.8925082454749766,2.8826168311900995,5.011516340728671,3.950559683033755,2.9386169261679154,5.02372719669403,3.9626167866222866,2.950262196961217,11.535983443891038,12.055511836616416,11.93566981536268,12.032778937237223,12.060823999327276,0.637924216191737
4,2024-10-13,-0.7818314824680299,0.6234898018587334,0.6513724827222223,-0.758758122692791,-1.0,-1.8369701987210297e-16,60.71550096825851,46.70416122077633,14.011339747482182,44442.0435218827,0.12970406439428445,4.918305522427776,5.317866640165662,5764.313674775865,164,242.86200387303404,1.8173277128576262,0,41,,1.026672031199051,1.5397794579522743,1.5916858743493758,1.503300998004841,1.4892992254175486,1.3224664588905322,1.4220762491075878,1.4528261374576548,1.487322548644388,1.5353159202438482,4.734963444745841,3.6780342389487273,2.676796949787365,4.867338133532636,3.808344151579967,2.8016381354326927,4.9073642077751085,3.847797087426208,2.839565737966117,4.951836594777923,3.8916586417916483,2.8817981104555455,5.01299566663565,3.9520202832461386,2.940027381203384,11.285151865408391,12.0003831700041,12.066001611219628,11.953712292597563,11.93566981536268,0.637924216191737
5,2024-10-13,-0.7818314824680299,0.6234898018587334,0.6513724827222223,-0.758758122692791,-1.0,-1.8369701987210297e-16,60.71550096825851,46.70416122077633,14.011339747482182,44442.0435218827,0.12970406439428445,4.918305522427776,5.317866640165662,5764.313674775865,205,303.5775048412926,1.8173277128576262,0,41,,1.358504720646626,1.6144954397020792,1.5957092304038698,1.5745651437258248,1.5397794579522743,1.4561994578040678,1.48287928655554,1.5174426307150364,1.553575068595945,1.5728831386120654,4.911732768409218,3.852104451951551,2.8437100477367228,4.946133115388533,3.8860320106321296,2.8763766457817668,4.990313109507831,3.9296278748254783,2.9184115688317673,5.036056814413761,3.974793026299688,2.962027374325648,5.060323996474201,3.998763730940419,2.9852028435462836,11.763334141194772,12.094559100030724,12.071050804968246,12.044457117092458,12.0003831700041,0.637924216191737
6,2024-10-13,-0.7818314824680299,0.6234898018587334,0.6513724827222223,-0.758758122692791,-1.0,-1.8369701987210297e-16,60.71550096825851,46.70416122077633,14.011339747482182,44442.0435218827,0.12970406439428445,4.918305522427776,5.317866640165662,5764.313674775865,246,364.29300580955106,1.8173277128576262,0,41,,1.0804178182729878,1.5745651437258248,1.5555453730992024,1.372306733580753,1.5099182003836584,1.3011595219745564,1.375694047063981,1.4292406648062193,1.4912985133192507,1.5164317900671953,4.706062071591498,3.6496205638615575,2.6496689869115926,4.806237685264137,3.7481633788658804,2.7438982876042393,4.87669712832167,3.817567101341952,2.810499308672237,4.956934166010628,3.8966878937442986,2.8866449175938302,4.989027000348464,3.928358412639636,2.917186637898363,11.367682600385871,12.044457117092458,12.0204095671432,11.78186716796641,11.962213933606737,0.637924216191737
7,2024-10-13,-0.7818314824680299,0.6234898018587334,0.6513724827222223,-0.758758122692791,-1.0,-1.8369701987210297e-16,60.71550096825851,46.70416122077633,14.011339747482182,44442.0435218827,0.12970406439428445,4.918305522427776,5.317866640165662,5764.313674775865,287,425.00850677780954,1.8173277128576262,0,41,,1.1947055233182955,1.4196068415100236,1.4196068415100236,1.3973634811730353,1.5163019408528369,1.3011595219745564,1.325442060615935,1.3498274998113382,1.404472616375962,1.4341639413474898,4.706062071591498,3.6496205638615575,2.6496689869115926,4.738982309344339,3.6819863778737636,2.680573003233756,4.771761734340461,3.714231300079803,2.7114058563676684,4.844253978842458,3.7856009674283055,2.7798008834704375,4.883116633593079,3.823894013736698,2.816579891250565,11.535983443891038,11.844735209096028,11.844735209096028,11.815292671190635,11.970400521407791,0.637924216191737
8,2024-10-13,-0.7818314824680299,0.6234898018587334,0.6513724827222223,-0.758758122692791,-1.0,-1.8369701987210297e-16,60.71550096825851,46.70416122077633,14.011339747482182,44442.0435218827,0.12970406439428445,4.918305522427776,5.317866640165662,5764.313674775865,328,485.7240077460681,1.8173277128576262,0,41,,0.8697416861919438,1.4818766360989102,1.3105061862047918,1.570002974208493,1.3437034446606386,1.1345435759810512,1.267275710186007,1.3253953616360412,1.3823559704715274,1.3881615581884592,4.471637741432846,3.4197076059355,2.4315422669263187,4.659637194583642,3.6040086701910643,2.6061952936150017,4.738919269794238,3.68192438294206,2.680513765323518,4.815069410417733,3.7568587243659404,2.752232183459118,4.8227503413471196,3.7644220066211234,2.7594835145243772,11.028591717579674,11.926075382891463,11.698178428463715,12.03869995582935,11.743360693222147,0.637924216191737
9,2024-10-13,-0.7818314824680299,0.6234898018587334,0.6513724827222223,-0.758758122692791,-1.0,-1.8369701987210297e-16,60.71550096825851,46.70416122077633,14.011339747482182,44442.0435218827,0.12970406439428445,4.918305522427776,5.317866640165662,5764.313674775865,369,546.4395087143266,1.8173277128576262,0,41,,0.9591348389208239,1.3105061862047918,1.448822238365871,1.448822238365871,1.4087998161504007,1.150174498204656,1.2562202175457449,1.2700704785364687,1.3503481757515452,1.3752924751153381,4.494333663529832,3.441920056281923,2.4525007735071007,4.644361800880153,3.5890089849936317,2.5919193093362005,4.663488573359118,3.6077911850800133,2.6097969363357647,4.772458659166444,3.7149170468995534,2.7120620433608553,4.805704706893173,3.747638668758753,2.7433954852530187,11.177840202557748,11.698178428463715,11.883091273568496,11.883091273568496,11.83045690356328,0.637924216191737
10,2024-10-13,-0.7818314824680299,0.6234898018587334,0.6513724827222223,-0.758758122692791,-1.0,-1.8369701987210297e-16,60.71550096825851,46.70416122077633,14.011339747482182,44442.0435218827,0.12970406439428445,4.918305522427776,5.317866640165662,5764.313674775865,410,607.1550096825852,1.8173277128576262,0,41,,0.7412763113750153,1.3437034446606386,1.4576463830228739,1.4395687003478859,1.3973634811730353,1.1142140396296767,1.2129401607106427,1.2472686293506337,1.339220053335577,1.368278733898783,4.4418752322325785,3.3905955925160316,2.40411396346566,4.583923227054147,3.529702731077582,2.5355776909784873,4.631945743286359,3.5768200937304795,2.58032615869376,4.757536761015229,3.70023616454496,2.6980182516154616,4.796384519415726,3.7384637717748137,2.734605445004022,10.796009535433068,11.743360693222147,11.894608169961598,11.87098039279535,11.815292671190635,0.637924216191737
11,2024-10-13,-0.7818314824680299,0.6234898018587334,0.6513724827222223,-0.758758122692791,-1.0,-1.8369701987210297e-16,60.71550096825851,46.70416122077633,14.011339747482182,44442.0435218827,0.12970406439428445,4.918305522427776,5.317866640165662,5764.313674775865,451,667.8705106508436,1.8173277128576262,0,41,,1.1247482629090362,1.2917246727283112,1.3105061862047918,1.4395687003478859,1.1622831138840004,1.263444830191795,1.2501948248768682,1.2607400962710487,1.2713168271798772,1.2445062876588626,4.65435135191869,3.598817765141598,2.6012536697837576,4.636009180114857,3.580808880200566,2.584119229687192,4.650614719589734,3.5951485434065837,2.597761398463321,4.665204815602238,3.609476824163002,2.611402181199411,4.628105589857696,3.573050762855622,2.5767424587992935,11.434051415362342,11.672371534010285,11.698178428463715,11.87098039279535,11.489146475405807,0.637924216191737
12,2024-10-13,-0.7818314824680299,0.6234898018587334,0.6513724827222223,-0.758758122692791,-1.0,-1.8369701987210297e-16,60.71550096825851,46.70416122077633,14.011339747482182,44442.0435218827,0.12970406439428445,4.918305522427776,5.317866640165662,5764.313674775865,492,728.5860116191021,1.8173277128576262,0,41,,1.026672031199051,1.372306733580753,1.4196068415100236,1.1247482629090362,1.223156202527103,1.188506036883796,1.230848241850811,1.2681326314682082,1.256433911116587,1.3272721939933056,4.549331185252454,3.4957896255767444,2.503436364185125,4.6090570692453365,3.5543575201828603,2.5589797072074836,4.660818522471081,3.6051688478558543,2.60729992466661,4.644657674519327,3.589299478984719,2.5921956893294067,4.741452019414009,3.684415213695872,2.682893952985089,11.285151865408391,11.78186716796641,11.844735209096028,11.434051415362342,11.576541993152473,0.637924216191737
13,2024-10-13,-0.7818314824680299,0.6234898018587334,0.6513724827222223,-0.758758122692791,-1.0,-1.8369701987210297e-16,60.71550096825851,46.70416122077633,14.011339747482182,44442.0435218827,0.12970406439428445,4.918305522427776,5.317866640165662,5764.313674775865,533,789.3015125873607,1.8173277128576262,0,41,,0.5265890341390445,1.1622831138840004,1.358504720646626,1.3105061862047918,1.1247482629090362,0.8941211441467943,0.9402847235262873,1.0005726694061186,1.1846274518618345,1.2398887437618333,4.098546074111212,3.0563093812160105,2.0928346632533623,4.174219975451897,3.1297229764267676,2.1605664278598757,4.269884802717793,3.222758192915972,2.246934256289611,4.543807533398247,3.4903765336163888,2.4983113829146752,4.621677095537954,3.566741426015002,2.570745334843445,10.335460767820594,11.489146475405807,11.763334141194772,11.698178428463715,11.434051415362342,0.637924216191737
14,2024-10-13,-0.7818314824680299,0.6234898018587334,0.6513724827222223,-0.758758122692791,-1.0,-1.8369701987210297e-16,60.71550096825851,46.70416122077633,14.011339747482182,44442.0435218827,0.12970406439428445,4.918305522427776,5.317866640165662,5764.313674775865,574,850.0170135556191,1.8173277128576262,0,41,,0.7412763113750153,0.8697416861919438,0.8697416861919438,1.1622831138840004,0.9591348389208239,0.8941211441467948,1.0361836723057314,0.9970976529832121,1.0846351211589578,1.0357143277089504,4.098546074111213,3.0563093812160114,2.092834663253363,4.324874834325295,3.276343878795178,2.2969336861105463,4.264460806215459,3.2174768353641663,2.2420161541036636,4.398057049849923,3.347770226682585,2.363850796995229,4.324156925611767,3.275643823469966,2.2962793351840163,10.796009535433068,11.028591717579674,11.028591717579674,11.489146475405807,11.177840202557748,0.637924216191737
