Object ID,Geographic Identifier - FIPS Code,Area of Land (Square Meters),Area of Water (Square Meters),Name,State,County,Total Population,Total Population - Margin of Error,"White alone, not Hispanic or Latino Population","White alone, not Hispanic or Latino Population - Margin of Error","Black or African American Alone, Not Hispanic or Latino Population","Black or African American Alone, Not Hispanic or Latino Population - Margin of Error","American Indian and Alaska Native Alone, Not Hispanic or Latino Population","American Indian and Alaska Native Alone, Not Hispanic or Latino Population - Margin of Error","Asian Alone, Not Hispanic or Latino Population","Asian Alone, Not Hispanic or Latino Population - Margin of Error","Native Hawaiian and Other Pacific Islander Alone, Not Hispanic or Latino Population","Native Hawaiian and Other Pacific Islander Alone, Not Hispanic or Latino Population - Margin of Error","Some Other Race Alone, Not Hispanic or Latino Population","Some Other Race Alone, Not Hispanic or Latino Population - Margin of Error","Two or More Races, Not Hispanic or Latino Population","Two or More Races, Not Hispanic or Latino Population - Margin of Error",Hispanic or Latino Population,Hispanic or Latino Population - Margin of Error,"Percent of Population that is White alone, not Hispanic or Latino","Percent of Population that is White alone, not Hispanic or Latino - Margin of Error","Percent of Population that is Black or African American Alone, Not Hispanic or Latino","Percent of Population that is Black or African American Alone, Not Hispanic or Latino - Margin of Error","Percent of Population that is American Indian and Alaska Native Alone, Not Hispanic or Latino","Percent of Population that is American Indian and Alaska Native Alone, Not Hispanic or Latino - Margin of Error","Percent of Population that is Asian Alone, Not Hispanic or Latino","Percent of Population that is Asian Alone, Not Hispanic or Latino - Margin of Error","Percent of Population that is Native Hawaiian and Other Pacific Islander Alone, Not Hispanic or Latino","Percent of Population that is Native Hawaiian and Other Pacific Islander Alone, Not Hispanic or Latino - Margin of Error","Percent of Population that is Some Other Race Alone, Not Hispanic or Latino","Percent of Population that is Some Other Race Alone, Not Hispanic or Latino - Margin of Error","Percent of Population that is Two or More Races, Not Hispanic or Latino","Percent of Population that is Two or More Races, Not Hispanic or Latino - Margin of Error",Percent of Population that is Hispanic or Latino,Percent of Population that is Hispanic or Latino - Margin of Error,Population that is not Hispanic or Latino,Population that is not Hispanic or Latino - Margin of Error,"Two races including some other race, not Hispanic or Latino","Two races including some other race, not Hispanic or Latino - Margin of Error","Two races excluding some other race, and three or more races, not Hispanic or Latino","Two races excluding some other race, and three or more races, not Hispanic or Latino - Margin of Error","White alone, Hispanic or Latino","White alone, Hispanic or Latino - Margin of Error","Black or African American alone, Hispanic or Latino","Black or African American alone, Hispanic or Latino - Margin of Error","American Indian and Alaska Native alone, Hispanic or Latino","American Indian and Alaska Native alone, Hispanic or Latino - Margin of Error","Asian alone, Hispanic or Latino","Asian alone, Hispanic or Latino - Margin of Error","Native Hawaiian and Other Pacific Islander alone, Hispanic or Latino","Native Hawaiian and Other Pacific Islander alone, Hispanic or Latino - Margin of Error","Some other race alone, Hispanic or Latino","Some other race alone, Hispanic or Latino - Margin of Error","Two or more races, Hispanic or Latino","Two or more races, Hispanic or Latino - Margin of Error","Two races including some other race, Hispanic or Latino","Two races including some other race, Hispanic or Latino - Margin of Error","Two races excluding some other race, and three or more races, Hispanic or Latino","Two races excluding some other race, and three or more races, Hispanic or Latino - Margin of Error",Shape__Area,Shape__Length,Place Name,Place FIPS
1,39035101101,305989,0,Census Tract 1011.01,Ohio,Cuyahoga County,2072,431,1027,269,525,242,7,12,20,24,0,12,8,14,187,149,298,171,49.6,7.88972694589364,25.3,10.4227028506863,0.3,0.574871231208265,1,1.14076623684322,0,0.579150579150579,0.4,0.670885522356626,9,6.94174723696118,14.4,7.69156581406037,1774,378,0,12,187,149,68,64,17,23,0,12,0,12,0,12,100,59,113,126,113,126,0,12,545643.64453125,3535.0687252026,Cleveland city,16000
2,39035101102,1323024,937321,Census Tract 1011.02,Ohio,Cuyahoga County,4298,660,3243,527,357,222,6,11,59,57,0,12,0,12,270,267,363,227,75.5,4.01176186287238,8.3,5.00523007847467,0.1,0.255033634939928,1.4,1.30933824540037,0,0.27919962773383,0,0.27919962773383,6.3,6.13683586339387,8.4,5.11981281201574,3935,634,0,12,270,267,112,111,0,12,0,12,44,70,41,65,16,26,150,147,150,147,0,12,2359570.859375,7227.77122911553,Cleveland city,16000
3,39035101300,626575,0,Census Tract 1013,Ohio,Cuyahoga County,1652,213,919,147,481,182,0,12,49,65,0,12,12,18,22,18,169,106,55.6,5.26630968184966,29.1,10.3576050562468,0,0.726392251815981,3,3.91599493738961,0,0.726392251815981,0.7,1.08555570017088,1.3,1.07597412924475,10.2,6.27943064844723,1483,185,7,10,15,14,14,16,20,22,10,13,0,12,0,12,83,81,42,49,42,49,0,12,1117273.4921875,4867.05180576445,Cleveland city,16000
4,39035101400,1278605,0,Census Tract 1014,Ohio,Cuyahoga County,1711,322,713,176,515,273,13,20,68,57,0,12,0,12,13,20,389,139,41.7,6.65638365289068,30.1,14.9162260651577,0.8,1.16012853209344,4,3.24633916053953,0,0.701344243132671,0,0.701344243132671,0.8,1.16012853209344,22.7,6.90587308647925,1322,318,0,12,13,20,64,48,45,38,0,12,0,12,0,12,88,51,192,143,181,142,11,17,2279251.34765625,6703.94783891451,Cleveland city,16000
5,39035101501,490532,0,Census Tract 1015.01,Ohio,Cuyahoga County,2021,284,966,240,376,221,10,13,58,49,0,12,0,12,165,125,446,216,47.8,9.79323643256589,18.6,10.6180525301283,0.5,0.639476809389396,2.9,2.39076669182974,0,0.593765462642256,0,0.593765462642256,8.2,6.07771964374944,22.1,10.2279798472663,1575,298,66,89,99,79,123,114,41,51,0,12,0,12,0,12,162,98,120,136,52,77,68,106,874530.70703125,4693.30925911757,Cleveland city,16000
6,39035101603,657700,0,Census Tract 1016.03,Ohio,Cuyahoga County,2160,376,1061,218,416,244,0,12,0,12,0,12,0,12,153,86,530,256,49.1,5.36171201803814,19.3,10.7873444753654,0,0.555555555555556,0,0.555555555555556,0,0.555555555555556,0,0.555555555555556,7.1,3.78574231794524,24.5,11.0554381741369,1630,307,4,6,149,88,82,65,0,12,0,12,0,12,0,12,302,244,146,107,146,107,0,12,1172451.0703125,6233.02701643482,Cleveland city,16000
7,39035101700,704442,0,Census Tract 1017,Ohio,Cuyahoga County,2852,609,940,260,1161,548,0,12,0,12,0,12,0,12,93,75,658,255,33,5.79449733438124,40.7,17.1358910098032,0,0.420757363253857,0,0.420757363253857,0,0.420757363253857,0,0.420757363253857,3.3,2.53587341414164,23.1,7.46137566768925,2194,558,0,12,93,75,17,25,59,65,25,40,0,12,0,12,31,58,526,244,388,204,138,99,1255945.9296875,5623.32299082796,Cleveland city,16000
8,39035101800,713778,0,Census Tract 1018,Ohio,Cuyahoga County,2221,356,1369,299,391,160,0,12,21,34,0,12,0,12,87,90,353,173,61.6,9.1445178582574,17.6,6.62830225840503,0,0.540297163439892,0.9,1.52332136997253,0,0.540297163439892,0,0.540297163439892,3.9,4.00329021565379,15.9,7.3608960282828,1868,312,0,12,87,90,83,73,0,12,0,12,0,12,0,12,194,148,76,68,13,26,63,67,1272620.48046875,5113.78039864936,Cleveland city,16000
9,39035101901,505170,0,Census Tract 1019.01,Ohio,Cuyahoga County,1327,302,767,209,119,88,0,12,136,163,0,12,7,11,64,80,234,160,57.8,8.66179883158378,9,6.30965132713492,0,0.904295403165034,10.2,12.0598703224567,0,0.904295403165034,0.5,0.820198289290198,4.8,5.92787661119545,17.6,11.3698181751944,1093,267,0,12,64,80,58,68,52,84,0,12,0,12,0,12,124,123,0,12,0,12,0,12,900699.5703125,4543.17312230853,Cleveland city,16000
10,39035102101,683352,0,Census Tract 1021.01,Ohio,Cuyahoga County,3367,449,1059,233,855,346,0,12,96,94,0,12,8,13,375,205,974,425,31.5,5.50418064149831,25.4,9.70223830407142,0,0.356400356400356,2.9,2.76579066225837,0,0.356400356400356,0.2,0.384798110235407,11.1,5.90457635879992,28.9,12.018594712029,2393,432,27,44,348,199,260,136,25,33,0,12,0,12,0,12,509,345,180,157,163,153,17,28,1217758.49609375,4525.74109633924,Cleveland city,16000
11,39035102102,823034,0,Census Tract 1021.02,Ohio,Cuyahoga County,2975,555,1152,303,339,206,0,12,86,86,11,18,0,12,146,113,1241,530,38.7,7.17962220655989,11.4,6.58998838879432,0,0.403361344537815,2.9,2.84000789137146,0.4,0.601097207490963,0,0.403361344537815,4.9,3.68633112501357,41.7,16.0255828068108,1734,397,12,19,134,112,649,468,31,34,0,12,0,12,0,12,230,195,331,186,283,164,48,60,1466303.8046875,5714.64866802805,Cleveland city,16000
12,39035102200,889240,0,Census Tract 1022,Ohio,Cuyahoga County,3241,447,1323,295,721,420,0,12,111,107,0,12,0,12,265,240,821,323,40.8,7.15204299072542,22.2,12.5905056358627,0,0.37025609379821,3.4,3.26748373309587,0,0.37025609379821,0,0.37025609379821,8.2,7.31875074260105,25.3,9.33359606252188,2420,555,31,47,234,230,232,157,0,12,0,12,0,12,0,12,360,258,229,202,80,54,149,170,1584544.1015625,6908.76471712416,Cleveland city,16000
13,39035102300,454665,0,Census Tract 1023,Ohio,Cuyahoga County,2140,499,663,275,570,355,0,12,30,37,0,12,0,12,161,118,716,182,31,10.6276159625788,26.6,15.3822526819405,0,0.560747663551402,1.4,1.69778991861452,0,0.560747663551402,0,0.560747663551402,7.5,5.22751416448455,33.5,3.3858296148662,1424,465,37,35,124,111,222,165,190,116,6,10,31,45,0,12,146,75,121,118,81,110,40,36,810279.8515625,4752.08181669023,Cleveland city,16000
14,39035102401,518099,0,Census Tract 1024.01,Ohio,Cuyahoga County,1931,380,581,179,73,59,44,64,0,12,0,12,126,181,16,16,1091,377,30.1,7.13239701249144,3.8,2.96345807530903,2.3,3.28387178211597,0,0.62143966856551,0,0.62143966856551,6.5,9.28501164928929,0.8,0.812383897881562,56.5,16.0483592185039,840,289,9,11,7,12,387,229,0,12,0,12,0,12,0,12,296,193,408,233,287,217,121,94,923309.53515625,4917.52326934043,Cleveland city,16000
15,39035102402,699388,0,Census Tract 1024.02,Ohio,Cuyahoga County,3655,567,1171,447,675,243,0,12,19,30,0,12,0,12,307,184,1483,280,32,11.1743746474998,18.5,5.99948570570277,0,0.328317373461012,0.5,0.816822324855111,0,0.328317373461012,0,0.328317373461012,8.4,4.86264745233346,40.6,4.36673088738246,2172,526,0,12,307,184,277,200,0,12,0,12,0,12,0,12,381,358,825,483,801,482,24,27,1246612.00390625,5387.58141823775,Cleveland city,16000
16,39035102700,1991456,0,Census Tract 1027,Ohio,Cuyahoga County,3391,614,1509,364,690,347,0,12,0,12,0,12,0,12,102,114,1090,466,44.5,7.09234131234565,20.3,9.54668370531023,0,0.353877912120318,0,0.353877912120318,0,0.353877912120318,0,0.353877912120318,3,3.31742850439704,32.1,12.4488849612983,2301,468,0,12,102,114,287,186,0,12,218,247,10,17,0,12,173,142,402,322,230,191,172,257,3549711.296875,8395.29514686229,Cleveland city,16000
17,39035102800,451380,0,Census Tract 1028,Ohio,Cuyahoga County,1651,337,456,143,452,226,0,12,0,12,0,12,0,12,97,111,646,178,27.6,6.57546108920296,27.4,12.4960585983164,0,0.726832222895215,0,0.726832222895215,0,0.726832222895215,0,0.726832222895215,5.9,6.61537651547269,39.1,7.24222001502791,1005,301,0,12,97,111,198,128,0,12,31,43,0,12,0,12,305,165,112,75,65,67,47,35,804513.4609375,3661.62394136378,Cleveland city,16000
18,39035102900,514701,0,Census Tract 1029,Ohio,Cuyahoga County,1836,383,376,136,448,324,0,12,0,12,0,12,0,12,12,13,1000,189,20.5,6.05135177129154,24.4,16.8970102753491,0,0.65359477124183,0,0.65359477124183,0,0.65359477124183,0,0.65359477124183,0.7,0.694809911630713,54.5,15.3317673740415,836,332,0,12,12,13,208,109,61,77,19,29,0,12,0,12,268,130,444,170,360,158,84,59,917407.69921875,4299.97064099914,Cleveland city,16000
19,39035103300,499678,69937,Census Tract 1033,Ohio,Cuyahoga County,2243,421,905,426,965,227,0,12,99,70,0,12,0,12,171,128,103,68,40.3,17.4172506352622,43,6.10031583443707,0,0.534997770842621,4.4,3.00885593210972,0,0.534997770842621,0,0.534997770842621,7.6,5.52432805153038,4.6,2.90655143760622,2140,427,22,36,149,125,5,9,5,9,18,46,0,12,0,12,39,60,36,35,36,35,0,12,891388.59375,4355.19635579507,Cleveland city,16000
20,39035103500,827823,0,Census Tract 1035,Ohio,Cuyahoga County,1353,214,913,127,106,76,0,12,20,15,0,12,0,12,66,36,248,174,67.5,14.2134269058529,7.8,5.47876331310873,0,0.886917960088692,1.5,1.08371389445496,0,0.886917960088692,0,0.886917960088692,4.9,2.54643420918718,18.3,12.5292675501924,1105,131,0,12,66,36,63,39,16,25,0,12,0,12,0,12,128,162,41,35,27,28,14,21,1476094.56640625,7992.10957178159,Cleveland city,16000
21,39035103602,2308486,1346696,Census Tract 1036.02,Ohio,Cuyahoga County,3584,455,2465,501,551,160,11,24,103,74,22,32,0,12,37,42,395,148,68.8,10.9163360446607,15.4,4.01503046816863,0.3,0.668508287942973,2.9,2.03224121612245,0.6,0.889449817165085,0,0.334821428571429,1,1.16452296750808,11,3.88520019007734,3189,466,0,12,37,42,201,127,32,50,0,12,0,12,0,12,93,117,69,79,35,56,34,55,4130283.40625,18468.7196137002,Cleveland city,16000
22,39035103800,876138,0,Census Tract 1038,Ohio,Cuyahoga County,1525,311,642,161,127,142,0,12,16,21,0,12,0,12,124,107,616,197,42.1,6.1441637166628,8.3,9.15528363398429,0,0.786885245901639,1,1.36032490854421,0,0.786885245901639,0,0.786885245901639,8.1,6.81763011322606,40.4,9.95074339788033,909,258,46,66,78,84,264,143,60,68,0,12,0,12,0,12,166,110,126,122,54,45,72,115,1561990.40234375,6400.3608873099,Cleveland city,16000
23,39035104400,1128445,0,Census Tract 1044,Ohio,Cuyahoga County,1163,152,729,136,162,119,0,12,16,18,9,15,8,12,48,44,191,128,62.7,8.34455502518964,13.9,10.0688982434873,0,1.03181427343078,1.4,1.53724148120438,0.8,1.28579610006182,0.7,1.02789014339235,4.1,3.74466700098616,16.4,10.7946872932195,972,148,7,11,41,46,67,69,0,12,0,12,4,13,0,12,65,87,55,54,50,44,5,17,2011783.25,6883.7244057885,Cleveland city,16000
24,39035104800,3282334,119014,Census Tract 1048,Ohio,Cuyahoga County,1722,329,1053,194,282,269,0,12,9,14,0,12,0,12,46,43,332,154,61.1,16.2301209588747,16.4,15.3048288411411,0,0.696864111498258,0.5,0.806852584473634,0,0.696864111498258,0,0.696864111498258,2.7,2.44438338566828,19.3,8.14924770142471,1390,314,19,29,27,33,125,71,28,48,0,12,50,50,0,12,61,56,68,56,45,44,23,32,5850137.3359375,14292.2914135146,Cleveland city,16000
25,39035105100,2384881,17552,Census Tract 1051,Ohio,Cuyahoga County,3724,698,1449,545,359,299,0,12,43,76,10,14,0,12,386,252,1477,539,38.9,12.6881830231806,9.6,7.82304446071254,0,0.322234156820623,1.2,2.02930828657319,0.3,0.372555438723737,0,0.322234156820623,10.4,6.48203515256752,39.7,12.4187238234012,2247,646,155,220,231,146,670,433,9,16,85,116,0,12,0,12,441,377,272,198,204,183,68,64,4280511.12109375,12304.210691376,Cleveland city,16000
26,39035105300,645695,0,Census Tract 1053,Ohio,Cuyahoga County,3293,580,1644,546,218,188,0,12,0,12,0,12,0,12,145,123,1286,382,49.9,14.0569197825526,6.6,5.58874059361354,0,0.364409353173398,0,0.364409353173398,0,0.364409353173398,0,0.364409353173398,4.4,3.6537929357037,39.1,9.3411181202086,2007,498,32,50,113,110,654,293,9,15,196,255,0,12,0,12,146,116,281,271,232,251,49,89,1150600.16015625,4700.43473873105,Cleveland city,16000
27,39035105400,1054648,2694,Census Tract 1054,Ohio,Cuyahoga County,3101,468,1146,304,658,253,2,4,0,12,0,12,0,12,33,32,1262,371,37,8.06212037570298,21.2,7.50391167599229,0.1,0.128622878457653,0,0.386971944534021,0,0.386971944534021,0,0.386971944534021,1.1,1.01935075172088,40.7,10.2670218088536,1839,415,8,14,25,29,241,168,161,225,0,12,0,12,0,12,132,159,728,341,675,336,53,69,1878935.33984375,7313.17871407679,Cleveland city,16000
28,39035105500,432150,0,Census Tract 1055,Ohio,Cuyahoga County,1986,427,547,166,560,306,0,12,6,11,0,12,0,12,81,64,792,288,27.5,5.89885464397905,28.2,14.1649966684424,0,0.604229607250755,0.3,0.55005506792858,0,0.604229607250755,0,0.604229607250755,4.1,3.10095315836315,39.9,11.6951519313981,1194,333,16,25,65,61,205,132,61,96,22,33,0,12,0,12,341,224,163,99,100,64,63,84,769976.69140625,5290.55036624062,Cleveland city,16000
29,39035105602,1722035,25329,Census Tract 1056.02,Ohio,Cuyahoga County,2194,408,1051,409,363,194,0,12,44,49,0,12,0,12,22,26,714,190,47.9,16.3755593356438,16.5,8.28973887818105,0,0.546946216955333,2,2.20200564428036,0,0.546946216955333,0,0.546946216955333,1,1.17028742851574,32.5,6.19442542196118,1480,445,0,12,22,26,246,145,0,12,46,85,0,12,0,12,373,185,49,47,0,12,49,47,3067911.5390625,8681.10855846254,Cleveland city,16000
30,39035105700,1623308,9276,Census Tract 1057,Ohio,Cuyahoga County,3864,532,2094,496,738,350,0,12,0,12,0,12,0,12,357,315,675,270,54.2,10.4452513751818,19.1,8.66786670476844,0,0.31055900621118,0,0.31055900621118,0,0.31055900621118,0,0.31055900621118,9.2,8.0523175325776,17.5,6.56060373091869,3189,512,187,199,170,157,82,97,0,12,0,12,0,12,0,12,417,252,176,132,132,116,44,74,2891686.26953125,7907.83459964361,Cleveland city,16000
31,39035105900,1543651,817,Census Tract 1059,Ohio,Cuyahoga County,2706,384,2144,394,170,110,0,12,0,12,0,12,0,12,70,87,322,134,79.2,9.2512073461666,6.3,3.96607759341515,0,0.443458980044346,0,0.443458980044346,0,0.443458980044346,0,0.443458980044346,2.6,3.19405200981764,11.9,4.65515435341848,2384,354,16,27,54,88,247,134,0,12,0,12,0,12,0,12,36,34,39,43,39,43,0,12,2749374.60546875,6845.24229796146,Cleveland city,16000
32,39035106100,1615662,0,Census Tract 1061,Ohio,Cuyahoga County,3867,559,1925,258,572,427,0,12,287,279,0,12,12,19,114,85,957,322,49.8,9.81308169764566,14.8,10.8331424912489,0,0.310318076027929,7.4,7.13468099604247,0,0.310318076027929,0.3,0.48928490412812,2.9,2.15638007000785,24.7,7.51920744575492,2910,473,10,16,104,85,421,247,20,33,10,16,0,12,0,12,255,328,251,118,115,95,136,106,2877841.2421875,6777.98277013954,Cleveland city,16000
33,39035106200,1038946,0,Census Tract 1062,Ohio,Cuyahoga County,3492,963,2174,952,141,93,0,12,0,12,0,12,0,12,44,41,1133,367,62.3,21.1771001843762,4,2.41927153495229,0,0.343642611683849,0,0.343642611683849,0,0.343642611683849,0,0.343642611683849,1.3,1.12151543108809,32.4,5.51312855593944,2359,960,0,12,44,41,246,271,92,92,78,123,0,12,71,111,322,178,324,138,137,111,187,150,1850092.74609375,6857.01231531832,Cleveland city,16000
34,39035106500,1284254,0,Census Tract 1065,Ohio,Cuyahoga County,2765,593,1849,478,218,190,0,12,0,12,0,12,0,12,208,207,490,226,66.9,9.65263778756639,7.9,6.66031782960582,0,0.433996383363472,0,0.433996383363472,0,0.433996383363472,0,0.433996383363472,7.5,7.31053075614222,17.7,7.23620054264591,2275,610,0,12,208,207,31,42,0,12,0,12,0,12,0,12,268,251,191,128,182,125,9,15,2286216.4453125,7768.66594502172,Cleveland city,16000
35,39035106600,1569870,0,Census Tract 1066,Ohio,Cuyahoga County,3278,477,2145,410,213,177,0,12,22,28,0,12,0,12,251,208,647,238,65.4,8.11001888046702,6.5,5.31620164016152,0,0.36607687614399,0.7,0.84857801686829,0,0.36607687614399,0,0.36607687614399,7.7,6.24673834765258,19.7,6.66828785793337,2631,413,0,12,251,208,41,67,117,128,0,12,0,12,0,12,270,193,219,200,219,200,0,12,2794601.171875,8875.56217525433,Cleveland city,16000
36,39035106800,599242,0,Census Tract 1068,Ohio,Cuyahoga County,2982,450,1889,400,296,222,0,12,136,202,0,12,19,30,172,133,470,219,63.3,9.41004484145114,9.9,7.29241482934224,0,0.402414486921529,4.6,6.73892431891949,0,0.402414486921529,0.6,1.00143096722922,5.8,4.37433625622869,15.8,6.94825370148901,2512,490,25,38,147,127,220,178,0,12,0,12,81,131,0,12,77,94,92,75,50,53,42,63,1067090.28515625,4180.6558191692,Cleveland city,16000
37,39035106900,1269788,0,Census Tract 1069,Ohio,Cuyahoga County,3501,440,2410,370,402,256,0,12,9,13,0,12,0,12,148,156,532,179,68.8,6.06999635592377,11.5,7.16838187240943,0,0.342759211653813,0.3,0.369914277210588,0,0.342759211653813,0,0.342759211653813,4.2,4.42408274004408,15.2,4.74276011748168,2969,409,47,68,101,140,128,94,19,31,0,12,0,12,0,12,18,29,367,197,367,197,0,12,2260651.19140625,6605.61979239068,Cleveland city,16000
38,39035107000,2806521,65621,Census Tract 1070,Ohio,Cuyahoga County,1569,244,1204,253,44,37,0,12,26,27,0,12,0,12,47,39,248,165,76.7,10.8444887277341,2.8,2.31751317443202,0,0.764818355640535,1.7,1.70143604439013,0,0.764818355640535,0,0.764818355640535,3,2.44161667798515,15.8,10.2249409771576,1321,234,24,32,23,23,93,90,0,12,0,12,0,12,0,12,149,145,6,10,0,12,6,10,5016198.53515625,15919.1714611242,Cleveland city,16000
39,39035107101,3991200,3238869,Census Tract 1071.01,Ohio,Cuyahoga County,4269,466,2936,413,840,332,16,24,59,56,0,12,11,17,212,101,195,102,68.8,6.10187449942369,19.7,7.47450546679904,0.4,0.560701926522481,1.4,1.30307854431947,0,0.28109627547435,0.3,0.397225137216612,5,2.30295328067514,4.6,2.33671177568746,4074,466,18,22,194,103,44,51,13,19,0,12,0,12,0,12,53,41,85,84,77,84,8,16,7124136.84375,21682.7800332008,Cleveland city,16000
40,39035107701,1990856,112551,Census Tract 1077.01,Ohio,Cuyahoga County,4679,457,2839,398,902,268,0,12,473,218,0,12,21,24,132,94,312,110,60.7,6.10195609025589,19.3,5.40940223862233,0,0.256465056636033,10.1,4.5532948339186,0,0.256465056636033,0.4,0.511053538879862,2.8,1.98999085532227,6.7,2.25891803384475,4367,435,10,17,122,93,233,98,21,33,0,12,0,12,0,12,10,1,48,39,48,39,0,12,3551870.99609375,12203.8215444716,Cleveland city,16000
41,39035107802,1834386,0,Census Tract 1078.02,Ohio,Cuyahoga County,3849,407,1431,480,1311,358,47,57,825,233,0,12,0,12,169,94,66,74,37.2,11.8349009516309,34.1,8.57548316852035,1.2,1.47526433084724,21.4,5.61321319161862,0,0.311769290724864,0,0.311769290724864,4.4,2.39765392964163,1.7,1.91400809482252,3783,391,26,38,143,98,6,15,11,19,0,12,0,12,0,12,42,62,7,26,6,18,1,13,3273665.23046875,7806.27034572232,Cleveland city,16000
42,39035108201,2124291,1297589,Census Tract 1082.01,Ohio,Cuyahoga County,1460,257,665,260,450,139,0,12,164,132,0,12,0,12,84,95,97,70,45.5,15.9012382401549,30.8,7.82334720862334,0,0.821917808219178,11.2,8.82222892096083,0,0.821917808219178,0,0.821917808219178,5.8,6.42755042348353,6.6,4.64969932768848,1363,251,0,12,84,95,75,66,0,12,0,12,0,12,0,12,22,30,0,12,0,12,0,12,3792538.39453125,11294.8036291367,Cleveland city,16000
43,39035108301,1370770,0,Census Tract 1083.01,Ohio,Cuyahoga County,1440,174,348,119,382,118,0,12,356,131,0,12,0,12,143,79,211,118,24.2,7.73075988745608,26.5,7.54149026033226,0,0.833333333333333,24.7,8.59276899251702,0,0.833333333333333,0,0.833333333333333,9.9,5.35327507316752,14.7,8.00088081168106,1229,183,37,48,106,87,126,109,30,27,0,12,0,12,0,12,41,38,14,15,14,15,0,12,2446341.95703125,9958.08616340256,Cleveland city,16000
44,39035108400,558183,0,Census Tract 1084,Ohio,Cuyahoga County,1235,236,293,104,261,163,0,12,466,208,0,12,22,33,58,75,135,120,23.7,7.09650343667317,21.1,12.5653443806497,0,0.97165991902834,37.7,15.220562705421,0,0.97165991902834,1.8,2.65029281938179,4.7,6.00619710152427,10.9,9.48941057358166,1100,250,0,12,58,75,117,118,0,12,0,12,0,12,0,12,18,20,0,12,0,12,0,12,996284.8828125,4846.69883313182,Cleveland city,16000
45,39035108701,1456361,0,Census Tract 1087.01,Ohio,Cuyahoga County,4987,783,463,247,4293,786,0,12,0,12,0,12,0,12,88,105,143,152,9.3,4.7335131287246,86.1,8.10739046021371,0,0.240625626629236,0,0.240625626629236,0,0.240625626629236,0,0.240625626629236,1.8,2.08716611148361,2.9,3.01449028575611,4844,792,0,12,88,105,27,44,0,12,0,12,0,12,0,12,0,12,116,137,29,40,87,134,2598392.10546875,7727.80487183617,Cleveland city,16000
46,39035109301,769006,0,Census Tract 1093.01,Ohio,Cuyahoga County,1187,295,105,60,919,297,6,10,43,52,0,12,5,8,40,62,69,43,8.8,4.55165516103762,77.4,15.9944687641775,0.5,0.833041110145376,3.6,4.28728247638782,0,1.01095197978096,0.4,0.665787945601833,3.4,5.1556733633995,5.8,3.32204600837396,1118,296,38,62,2,4,14,22,28,33,0,12,0,12,0,12,8,12,19,17,19,17,0,12,1371857.66796875,5992.32114356065,Cleveland city,16000
47,39035109701,765751,0,Census Tract 1097.01,Ohio,Cuyahoga County,2744,649,382,75,1394,322,0,12,0,12,0,12,0,12,86,59,882,610,13.9,4.27923335952782,50.8,16.7950456332488,0,0.43731778425656,0,0.43731778425656,0,0.43731778425656,0,0.43731778425656,3.1,2.01832836803434,32.1,20.8900018196226,1862,310,8,17,78,57,75,138,139,172,0,12,0,12,0,12,505,576,163,148,150,148,13,19,1365806.19140625,5878.94087259529,Cleveland city,16000
48,39035109801,745959,0,Census Tract 1098.01,Ohio,Cuyahoga County,2104,721,26,29,1937,719,0,12,60,84,0,12,0,12,14,21,67,75,1.2,1.31166421598448,92.1,13.1343302991448,0,0.570342205323194,2.9,3.87094956523565,0,0.570342205323194,0,0.570342205323194,0.7,0.971703904899639,3.2,3.39350175083258,2037,722,0,12,14,21,21,32,0,12,0,12,0,12,0,12,46,70,0,12,0,12,0,12,1330443.62109375,4781.01974347163,Cleveland city,16000
49,39035110901,3335528,84637,Census Tract 1109.01,Ohio,Cuyahoga County,2912,687,1243,410,1049,510,3,6,0,12,0,12,49,73,69,73,499,368,42.7,9.83996474484344,36,15.3135253656616,0.1,0.204605424701221,0,0.412087912087912,0,0.412087912087912,1.7,2.47523608146767,2.4,2.44374519946135,17.1,11.973273709288,2413,701,0,12,69,73,0,12,0,12,0,12,22,34,0,12,98,141,379,367,379,367,0,12,5943993.71875,13958.078174902,Cleveland city,16000
50,39035111202,2886971,1238715,Census Tract 1112.02,Ohio,Cuyahoga County,859,244,151,57,643,232,1,6,0,12,0,12,30,43,0,12,34,27,17.6,4.37027156247139,74.9,16.653705439885,0.1,0.697703430766633,0,1.39697322467986,0,1.39697322467986,3.5,4.90653827207869,0,1.39697322467986,4,2.93523255562651,825,246,0,12,0,12,34,27,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,5156318.44140625,17371.9774644372,Cleveland city,16000
51,39035111401,657211,0,Census Tract 1114.01,Ohio,Cuyahoga County,915,238,10,16,800,217,0,12,1,3,0,12,0,12,70,90,34,36,1.1,1.72537231373854,87.4,6.72696973703513,0,1.31147540983607,0.1,0.326634162585228,0,1.31147540983607,0,1.31147540983607,7.7,9.63267644898446,3.7,3.81386111757842,881,240,9,14,61,89,0,12,0,12,0,12,0,12,0,12,25,33,9,12,2,3,7,11,1173933.63671875,6503.50022696727,Cleveland city,16000
