Unnamed: 0,Date,Location,Home Team,Coordinates,latitude,longitude,nearest_geo_id,distance
40,2018-05-03 00:00:00,Progressive Field,Cleveland Guardians,"(41.496262, -81.686043)",41.496262,-81.686043,390351077012038,0.000996210932653105
41,2018-05-03 00:00:00,Progressive Field,Cleveland Guardians,"(41.496262, -81.686043)",41.496262,-81.686043,390351077012038,0.000996210932653105
42,2018-05-11 00:00:00,Progressive Field,Cleveland Guardians,"(41.496262, -81.686043)",41.496262,-81.686043,390351077012038,0.000996210932653105
43,2018-05-12 00:00:00,Progressive Field,Cleveland Guardians,"(41.496262, -81.686043)",41.496262,-81.686043,390351077012038,0.000996210932653105
44,2018-05-13 00:00:00,Progressive Field,Cleveland Guardians,"(41.496262, -81.686043)",41.496262,-81.686043,390351077012038,0.000996210932653105
45,2018-05-24 00:00:00,Progressive Field,Cleveland Guardians,"(41.496262, -81.686043)",41.496262,-81.686043,390351077012038,0.000996210932653105
46,2018-05-25 00:00:00,Progressive Field,Cleveland Guardians,"(41.496262, -81.686043)",41.496262,-81.686043,390351077012038,0.000996210932653105
47,2018-05-26 00:00:00,Progressive Field,Cleveland Guardians,"(41.496262, -81.686043)",41.496262,-81.686043,390351077012038,0.000996210932653105
48,2018-05-27 00:00:00,Progressive Field,Cleveland Guardians,"(41.496262, -81.686043)",41.496262,-81.686043,390351077012038,0.000996210932653105
49,2018-05-28 00:00:00,Progressive Field,Cleveland Guardians,"(41.496262, -81.686043)",41.496262,-81.686043,390351077012038,0.000996210932653105
50,2018-05-29 00:00:00,Progressive Field,Cleveland Guardians,"(41.496262, -81.686043)",41.496262,-81.686043,390351077012038,0.000996210932653105
51,2018-05-30 00:00:00,Progressive Field,Cleveland Guardians,"(41.496262, -81.686043)",41.496262,-81.686043,390351077012038,0.000996210932653105
52,2018-06-05 00:00:00,Progressive Field,Cleveland Guardians,"(41.496262, -81.686043)",41.496262,-81.686043,390351077012038,0.000996210932653105
53,2018-06-06 00:00:00,Progressive Field,Cleveland Guardians,"(41.496262, -81.686043)",41.496262,-81.686043,390351077012038,0.000996210932653105
54,2018-06-15 00:00:00,Progressive Field,Cleveland Guardians,"(41.496262, -81.686043)",41.496262,-81.686043,390351077012038,0.000996210932653105
55,2018-06-16 00:00:00,Progressive Field,Cleveland Guardians,"(41.496262, -81.686043)",41.496262,-81.686043,390351077012038,0.000996210932653105
56,2018-06-17 00:00:00,Progressive Field,Cleveland Guardians,"(41.496262, -81.686043)",41.496262,-81.686043,390351077012038,0.000996210932653105
57,2018-06-18 00:00:00,Progressive Field,Cleveland Guardians,"(41.496262, -81.686043)",41.496262,-81.686043,390351077012038,0.000996210932653105
58,2018-06-19 00:00:00,Progressive Field,Cleveland Guardians,"(41.496262, -81.686043)",41.496262,-81.686043,390351077012038,0.000996210932653105
59,2018-06-20 00:00:00,Progressive Field,Cleveland Guardians,"(41.496262, -81.686043)",41.496262,-81.686043,390351077012038,0.000996210932653105
60,2018-06-22 00:00:00,Progressive Field,Cleveland Guardians,"(41.496262, -81.686043)",41.496262,-81.686043,390351077012038,0.000996210932653105
61,2018-06-23 00:00:00,Progressive Field,Cleveland Guardians,"(41.496262, -81.686043)",41.496262,-81.686043,390351077012038,0.000996210932653105
62,2018-06-24 00:00:00,Progressive Field,Cleveland Guardians,"(41.496262, -81.686043)",41.496262,-81.686043,390351077012038,0.000996210932653105
63,2018-07-06 00:00:00,Progressive Field,Cleveland Guardians,"(41.496262, -81.686043)",41.496262,-81.686043,390351077012038,0.000996210932653105
64,2018-07-07 00:00:00,Progressive Field,Cleveland Guardians,"(41.496262, -81.686043)",41.496262,-81.686043,390351077012038,0.000996210932653105
65,2018-07-08 00:00:00,Progressive Field,Cleveland Guardians,"(41.496262, -81.686043)",41.496262,-81.686043,390351077012038,0.000996210932653105
66,2018-07-09 00:00:00,Progressive Field,Cleveland Guardians,"(41.496262, -81.686043)",41.496262,-81.686043,390351077012038,0.000996210932653105
67,2018-07-10 00:00:00,Progressive Field,Cleveland Guardians,"(41.496262, -81.686043)",41.496262,-81.686043,390351077012038,0.000996210932653105
68,2018-07-11 00:00:00,Progressive Field,Cleveland Guardians,"(41.496262, -81.686043)",41.496262,-81.686043,390351077012038,0.000996210932653105
69,2018-07-12 00:00:00,Progressive Field,Cleveland Guardians,"(41.496262, -81.686043)",41.496262,-81.686043,390351077012038,0.000996210932653105
70,2018-07-13 00:00:00,Progressive Field,Cleveland Guardians,"(41.496262, -81.686043)",41.496262,-81.686043,390351077012038,0.000996210932653105
71,2018-07-14 00:00:00,Progressive Field,Cleveland Guardians,"(41.496262, -81.686043)",41.496262,-81.686043,390351077012038,0.000996210932653105
72,2018-07-15 00:00:00,Progressive Field,Cleveland Guardians,"(41.496262, -81.686043)",41.496262,-81.686043,390351077012038,0.000996210932653105
73,2018-07-23 00:00:00,Progressive Field,Cleveland Guardians,"(41.496262, -81.686043)",41.496262,-81.686043,390351077012038,0.000996210932653105
